time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-01 00:00:00+00:00,22,11,2.0,1.0
2025-09-02 00:00:00+00:00,5,5,1.0,1.0
2025-09-03 00:00:00+00:00,5,4,3.0,1.0
2025-09-04 00:00:00+00:00,9,7,7.0,1.0
2025-09-05 00:00:00+00:00,36,15,11.0,1.0
2025-09-06 00:00:00+00:00,24,9,12.0,2.0
2025-09-07 00:00:00+00:00,5,5,8.0,1.0
2025-09-08 00:00:00+00:00,16,4,1.0,1.0
2025-09-09 00:00:00+00:00,11,4,6.0,3.0
2025-09-10 00:00:00+00:00,2,2,2.0,1.0
2025-09-11 00:00:00+00:00,16,6,2.0,1.0
2025-09-12 00:00:00+00:00,7,7,,
2025-09-13 00:00:00+00:00,2,2,,
2025-09-14 00:00:00+00:00,1,1,1.0,1.0
