time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-29 00:00:00+00:00,6,6,4,2
2025-08-30 00:00:00+00:00,5,5,1,1
2025-08-31 00:00:00+00:00,7,7,5,1
2025-09-01 00:00:00+00:00,22,11,2,1
2025-09-02 00:00:00+00:00,5,5,1,1
2025-09-03 00:00:00+00:00,5,4,3,1
2025-09-04 00:00:00+00:00,9,7,7,1
2025-09-05 00:00:00+00:00,36,15,11,1
2025-09-06 00:00:00+00:00,24,9,12,2
2025-09-07 00:00:00+00:00,5,5,8,1
2025-09-08 00:00:00+00:00,16,4,1,1
2025-09-09 00:00:00+00:00,11,4,6,3
2025-09-10 00:00:00+00:00,2,2,2,1
2025-09-11 00:00:00+00:00,13,3,2,1
